Month,ZipCode,SqFt,Price
7,92831,933,356000
7,92832,1559,595000
7,92835,1902,760000
7,92831,1562,460000
7,92835,3000,1100000
8,92831,1252,595000
8,92831,1792,780000
7,92831,1596,600000
8,92835,1321,465000
8,92835,1452,725000
8,92835,2299,985000
7,92835,2830,795000
9,92835,851,340000
9,92831,1500,633000
7,92835,3000,1600000
7,92832,1821,649000
8,92833,1081,500000
8,92833,4190,1280000
8,92833,1053,540000
7,92833,1178,452000
7,92831,1203,440000
7,92835,676,270000
9,92835,831,340000
7,92832,2045,800000
7,92835,2738,1250000
8,92832,2348,849000
8,92835,2628,1137750
9,92832,1969,750000
8,92835,1117,547250
9,92835,3654,1298000
7,92832,1819,555000
7,92832,1309,605000
7,92831,1112,563000
7,92831,1368,569000
7,92831,1252,570000
7,92833,1290,563000
7,92831,2252,890000
7,92832,1819,578000
8,92831,2191,837500
8,92831,2793,975000
8,92833,1008,615000
8,92832,1382,585000
8,92831,1763,560000
8,92831,640,450000
8,92832,1088,529000
9,92832,1625,605000
9,92831,1300,615000
9,92831,4522,1987000
9,92831,3096,1133550
9,92831,2201,1110000
9,92835,2251,1040000
7,92835,2154,900000
8,92835,1562,631000
8,92835,2310,630000
8,92832,1693,600000
8,92835,2032,938000
8,92831,1150,480000
7,92835,1891,739000
8,92835,4337,1500000
9,92835,2279,1065000
9,92831,1427,672000
9,92835,2234,730000
7,92831,2416,750000
7,92835,2546,1050000
9,92831,1150,486500
9,92835,1267,473500
9,92831,1652,490000
7,92831,2400,900000
7,92831,1578,633750
8,92831,2151,789000
8,92832,1092,445000
8,92831,677,290000
8,92831,1579,725000
8,92831,1221,645000
8,92831,1202,440000
9,92831,1563,521000
9,92831,2109,756000
7,92832,2693,985000
8,92833,1854,690000
8,92832,2578,1040000
8,92832,1007,520000
9,92832,340,147000
9,92831,1329,660000
9,92835,2290,768000
7,92832,1693,610000
7,92832,1273,550000
8,92835,501,195000
8,92832,1103,550000
8,92833,1734,558000
9,92832,2850,1265000
9,92832,1712,545000
9,92833,1702,801000
7,92832,1308,520000
7,92835,3917,1250000
7,92833,2161,718000
7,92835,2860,900000
7,92833,1178,455000
7,92833,1198,435000
7,92832,1467,575000
7,92832,4200,1020000
7,92835,1876,940000
8,92833,2080,805000
8,92835,3300,1075000
9,92833,3679,1070000
9,92832,1159,633000
7,92832,1340,572000
7,92831,2710,765000
7,92831,1072,570000
7,92831,1150,485900
7,92831,1104,560000
8,92831,2877,1140000
8,92831,677,269000
8,92831,1652,500000
8,92831,1618,730000
8,92835,1563,665000
9,92831,1834,754000
9,92831,3111,1225000
9,92832,1157,359500
9,92835,831,325000
9,92835,1021,565000
9,92831,2675,1435000
9,92835,2872,1195000
7,92835,2412,869000
7,92835,1286,639000
7,92835,1756,689000
8,92835,1117,519000
8,92835,2023,685000
9,92835,2320,718000
9,92835,676,295000
7,92835,2041,853900
7,92835,2949,1025000
7,92831,2013,1108000
7,92835,2860,1078000
8,92835,3307,1125000
8,92831,2682,990000
8,92831,1847,757000
8,92835,2126,655000
9,92835,1617,565500
9,92835,2411,894000
9,92835,2832,1125000
7,92831,1164,629000
7,92831,1563,470000
8,92831,677,295800
9,92833,1601,569000
9,92831,2084,830000
9,92831,1515,495000
9,92832,1132,561000
9,92833,1290,575000
8,92833,1670,620000
7,92832,2381,740000
9,92832,1390,560000
9,92832,1855,559000
9,92835,2371,948500
7,92831,1763,580000
7,92831,1060,580000
8,92831,2200,620000
8,92831,1149,430000
8,92831,1520,745000
8,92835,1286,686000
7,92832,1157,375000
8,92833,1887,615000
8,92832,1300,675000
8,92832,3071,1100000
9,92832,392,142439
7,92835,2310,535000
7,92831,2630,902500
7,92835,2179,560000
7,92831,1374,700000
7,92835,1930,810000
7,92835,1980,835000
8,92835,2954,900000
8,92832,1157,385000
8,92835,1288,698800
7,92831,1260,760000
8,92835,5246,1550000
8,92835,3197,1145000
8,92831,1923,795000
8,92835,1954,840000
8,92832,881,310000
8,92832,1400,525000
8,92832,1932,905000
9,92831,1150,461000
9,92831,3300,1200000
9,92835,3934,1150000
9,92835,1500,500000
7,92835,1937,710000
7,92835,1910,820000
8,92833,1479,740000
8,92835,1440,675000
8,92835,1296,515000
9,92835,1215,460000
9,92835,3008,1175000
7,92835,3765,1370000
7,92832,4178,1150000
