"month","Crime Name","ncrimes"
1,"Burglary",1301
1,"Identity Theft",1131
1,"Vehicle Theft",1755
1,"Battery",1369
2,"Burglary",1173
2,"Identity Theft",912
2,"Vehicle Theft",1462
2,"Battery",1315
3,"Burglary",1266
3,"Identity Theft",1141
3,"Vehicle Theft",1603
3,"Battery",1597
4,"Burglary",1185
4,"Identity Theft",986
4,"Vehicle Theft",1511
4,"Battery",1497
5,"Burglary",1302
5,"Identity Theft",1056
5,"Vehicle Theft",1566
5,"Battery",1523
6,"Burglary",1240
6,"Identity Theft",876
6,"Vehicle Theft",1512
6,"Battery",1648
7,"Burglary",1237
7,"Identity Theft",895
7,"Vehicle Theft",1595
7,"Battery",1806
8,"Burglary",1235
8,"Identity Theft",902
8,"Vehicle Theft",1553
8,"Battery",1697
9,"Burglary",1326
9,"Identity Theft",901
9,"Vehicle Theft",1496
9,"Battery",1803
10,"Burglary",1321
10,"Identity Theft",781
10,"Vehicle Theft",1596
10,"Battery",1784
11,"Burglary",1271
11,"Identity Theft",699
11,"Vehicle Theft",1552
11,"Battery",1556
12,"Burglary",1285
12,"Identity Theft",611
12,"Vehicle Theft",1616
12,"Battery",1504
